Key,Description,English,Bulgarian,Chinese (Simplified),Chinese (Traditional),Czech,Danish,Dutch,Finnish,French,German,Hindi,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese (Brazil),Portuguese,Romanian,Russian,Slovak,Spanish,Swedish,Turkish,Ukrainian
settings/show_chat__tooltip,key to chat,Show incoming chat messages (non-VR only). Chat messages are still visible when pressing the chat key.,Показвай входящите чат съобщения (само за не-VR). Чат съобщенията остават видими при натискане на клавиша за чат.,显示收到的聊天消息（仅限非VR）。按下聊天键时聊天消息仍然可见。,顯示收到的聊天訊息（僅限非VR）。按下聊天鍵時聊天訊息仍然可見。,Zobrazit příchozí chatové zprávy (pouze non-VR). Chatové zprávy jsou stále viditelné při stisknutí klávesy chatu.,"Vis indgående chatbeskeder (kun ikke-VR). Chatbeskeder er stadig synlige, når chat-tasten holdes nede.",Toon inkomende chatberichten (alleen niet-VR). Chatberichten blijven zichtbaar wanneer je op de chattoets drukt.,"Näytä saapuvat chatviestit (vain ei-VR). Chatviestit näkyvät edelleen, kun chat-näppäintä painetaan.",Afficher les messages de chat entrants (non-VR uniquement). Les messages de chat restent visibles lorsque la touche de chat est enfoncée.,"Eingehende Chatnachrichten anzeigen (nur Nicht-VR). Chatnachrichten bleiben sichtbar, wenn die Chat-Taste gedrückt wird.",आने वाले चैट संदेश दिखाएँ (केवल non-VR)। चैट कुंजी दबाने पर भी चैट संदेश दिखाई देते हैं।,A bejövő chatüzenetek megjelenítése (csak nem VR). A chatüzenetek továbbra is láthatók a chat billentyű lenyomásakor.,Mostra i messaggi chat in arrivo (solo non-VR). I messaggi chat restano visibili quando si preme il tasto chat.,受信したチャットメッセージを表示します（非VRのみ）。チャットキーを押している間もチャットメッセージは表示されます。,수신 채팅 메시지를 표시합니다 (비VR 전용). 채팅 키를 누르고 있어도 채팅 메시지는 계속 표시됩니다.,Vis innkommende chatmeldinger (kun ikke-VR). Chatmeldinger er fortsatt synlige når chat-tasten trykkes.,Pokazuj przychodzące wiadomości czatu (tylko poza VR). Wiadomości czatu są nadal widoczne po naciśnięciu klawisza czatu.,Mostrar mensagens de chat recebidas (somente não VR). As mensagens de chat ainda ficam visíveis ao pressionar a tecla de chat.,Mostrar mensagens de chat recebidas (apenas não VR). As mensagens de chat continuam visíveis ao pressionar a tecla de chat.,Afișează mesajele de chat primite (doar non-VR). Mesajele de chat rămân vizibile când este apăsată tasta de chat.,Показывать входящие сообщения чата (только для не-VR). Сообщения чата остаются видимыми при нажатии клавиши чата.,Zobraziť prichádzajúce chatové správy (iba non-VR). Chatové správy zostanú viditeľné aj pri stlačení klávesu chatu.,Mostrar mensajes de chat entrantes (solo no VR). Los mensajes de chat siguen siendo visibles al pulsar la tecla de chat.,Visa inkommande chattmeddelanden (endast icke-VR). Chattmeddelanden är fortfarande synliga när chattangenten trycks ned.,Gelen sohbet mesajlarını göster (yalnızca VR olmayan). Sohbet tuşuna basıldığında sohbet mesajları görünür kalır.,Показувати вхідні повідомлення чату (лише не-VR). Повідомлення чату залишаються видимими під час натискання клавіші чату.
settings/show_chat__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/debug_logging,Enable debug logging,Debug Logging,Логване за отстраняване на грешки,调试日志,偵錯日誌,Ladění protokolování,Fejllogning,Debuglogboek,Fiksausloki,Journalisation de débogage,Debug-Protokollierung,डीबग लॉगिंग,Hibakeresési naplózás,Log di debug,デバッグログ,디버그 로깅,Feilsøkingslogging,Rejestrowanie debugowania,Registro de depuração,Registo de depuração,Jurnalizare depanare,Журналирование отладки,Ladenie protokolovania,Registro de depuración,Felsökningsloggning,Hata Ayıklama Günlüğü,Журнал налагодження
settings/debug_logging__tooltip,debug_logging,"Enable debug logging. This is useful for finding and reporting issues, but may cause lag on some systems and under some conditions. Not generally recommended.","Включи логване за отстраняване на грешки. Това е полезно за откриване и докладване на проблеми, но може да причини забавяне на някои системи и при някои условия. По принцип не се препоръчва。","启用调试日志。这有助于发现和报告问题，但在某些系统和某些情况下可能会导致卡顿。通常不建议启用。","啟用偵錯日誌。這有助於發現與回報問題，但在某些系統和某些情況下可能會導致延遲。一般不建議啟用。","Povolit ladicí protokolování. To je užitečné pro vyhledávání a hlášení problémů, ale na některých systémech a za určitých podmínek může způsobit zpoždění. Obecně se nedoporučuje。","Aktivér fejllogning. Dette er nyttigt til at finde og rapportere problemer, men kan give forsinkelse på nogle systemer og under visse forhold. Anbefales generelt ikke。","Schakel debuglogboek in. Dit is nuttig voor het vinden en melden van problemen, maar kan op sommige systemen en onder bepaalde omstandigheden vertraging veroorzaken. Over het algemeen niet aanbevolen。","Ota käyttöön virheenkorjausloki. Tämä on hyödyllinen ongelmien löytämisessä ja ilmoittamisessa, mutta voi aiheuttaa viivettä joillakin järjestelmillä ja tietyissä tilanteissa. Ei yleisesti suositeltu。","Activer la journalisation de débogage. Cela est utile pour trouver et signaler des problèmes, mais peut provoquer des ralentissements sur certains systèmes et dans certaines conditions. Généralement non recommandé。","Debug-Protokollierung aktivieren. Das ist nützlich zum Finden und Melden von Problemen, kann aber auf einigen Systemen und unter bestimmten Bedingungen zu Verzögerungen führen. Im Allgemeinen nicht empfohlen。","डीबग लॉगिंग सक्षम करें। यह समस्याएँ ढूँढने और रिपोर्ट करने में उपयोगी है, लेकिन कुछ सिस्टमों और कुछ परिस्थितियों में लैग पैदा कर सकता है। सामान्यतः अनुशंसित नहीं है।","Hibakeresési naplózás engedélyezése. Ez hasznos a problémák felderítéséhez és jelentéséhez, de egyes rendszereken és bizonyos körülmények között akadozást okozhat. Általában nem ajánlott。","Abilita il log di debug. È utile per individuare e segnalare problemi, ma può causare rallentamenti su alcuni sistemi e in alcune condizioni. Generalmente non consigliato。","デバッグログを有効にします。問題の特定と報告に役立ちますが、一部のシステムや条件ではラグの原因になることがあります。通常は推奨されません。","디버그 로깅을 활성화합니다. 문제를 찾고 보고하는 데 유용하지만 일부 시스템 및 특정 조건에서 지연이 발생할 수 있습니다. 일반적으로 권장되지 않습니다。","Aktiver feilsøkingslogging. Dette er nyttig for å finne og rapportere problemer, men kan forårsake forsinkelse på enkelte systemer og under visse forhold. Generelt ikke anbefalt。","Włącz rejestrowanie debugowania. Jest to przydatne do znajdowania i zgłaszania problemów, ale może powodować opóźnienia na niektórych systemach i w pewnych warunkach. Ogólnie niezalecane。","Ativar registro de depuração. Isso é útil para encontrar e relatar problemas, mas pode causar lentidão em alguns sistemas e em certas condições. Não é geralmente recomendado。","Ativar registo de depuração. Isto é útil para encontrar e reportar problemas, mas pode causar atrasos em alguns sistemas e em certas condições. Geralmente não recomendado。","Activează jurnalizarea de depanare. Acest lucru este util pentru găsirea și raportarea problemelor, dar poate cauza lag pe unele sisteme și în anumite condiții. În general nu este recomandat。","Включить журналирование отладки. Это полезно для поиска и сообщения о проблемах, но может вызывать задержки на некоторых системах и при определённых условиях. Обычно не рекомендуется。","Povoliť ladenie protokolovania. Je to užitočné na hľadanie a nahlasovanie problémov, ale na niektorých systémoch a za určitých podmienok môže spôsobiť oneskorenie. Vo všeobecnosti sa neodporúča。","Habilitar el registro de depuración. Esto es útil para encontrar y reportar problemas, pero puede causar retraso en algunos sistemas y en ciertas condiciones. Generalmente no se recomienda。","Aktivera felsökningsloggning. Detta är användbart för att hitta och rapportera problem, men kan orsaka fördröjning på vissa system och under vissa förhållanden. Rekommenderas generellt inte。","Hata ayıklama günlüğünü etkinleştir. Bu, sorunları bulmak ve bildirmek için yararlıdır, ancak bazı sistemlerde ve bazı koşullarda gecikmeye neden olabilir. Genel olarak önerilmez。","Увімкнути журнал налагодження. Це корисно для пошуку та повідомлення про проблеми, але може спричиняти затримки на деяких системах і за певних умов. Зазвичай не рекомендується。"
settings/debug_logging__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/char_select,character selector,Selecting char,Избор на герой,选择角色中,選擇角色中,Výběr postavy,Vælger figur,Personage selecteren,Hahmon valinta,Sélection du personnage,Charakterauswahl,चरित्र चयन,Karakter kiválasztása,Selezione personaggio,キャラクター選択,캐릭터 선택,Velger figur,Wybór postaci,Selecionando personagem,A selecionar personagem,Selectare personaj,Выбор персонажа,Výber postavy,Seleccionando personaje,Väljer karaktär,Karakter seçimi,Вибір персонажа
settings/char_select__tooltip,Character selector tooltip,Choose a character. Characters are purely cosmetic.,Изберете герой. Героите са само козметични.,选择一个角色。角色仅用于外观。,選擇一個角色。角色僅用於外觀。,Vyberte postavu. Postavy jsou čistě kosmetické.,Vælg en figur. Figurer er kun kosmetiske.,Kies een personage. Personages zijn puur cosmetisch.,Valitse hahmo. Hahmot ovat vain kosmeettisia.,Choisissez un personnage. Les personnages sont purent esthétiques.,Wähle einen Charakter. Charaktere dienen nur der Kosmetik.,"एक पात्र चुनें। पात्र केवल कॉस्मेटिक हैं।",Válassz egy karaktert. A karakterek tisztán kozmetikai jellegűek.,Scegli un personaggio. I personaggi sono puramente cosmetici.,キャラクターを選択してください。キャラクターは純粋に見た目だけのものです。,캐릭터를 선택하세요. 캐릭터는 순전히 외형 전용입니다.,Velg en karakter. Karakterer er rent kosmetiske.,Wybierz postać. Postacie mają charakter wyłącznie kosmetyczny.,Escolha um personagem. Os personagens são puramente cosméticos.,Escolha uma personagem. As personagens são puramente cosméticas.,Alege un personaj. Personajele sunt pur cosmetice.,Выберите персонажа. Персонажи носят чисто косметический характер.,Vyberte postavu. Postavy sú čisto kozmetické.,"Elige un personaje. Los personajes son puramente cosméticos.",Välj en karaktär. Karaktärer är rent kosmetiska.,Bir karakter seçin. Karakterler tamamen kozmetiktir.,Виберіть персонажа. Персонажі мають виключно косметичний характер.
settings/char_select__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
settings/char_hover__tooltip,Character selector tooltip,Drag character to rotate.,"Плъзнете героя, за да го завъртите.",拖动角色可旋转。,拖動角色可旋轉。,Přetažením postavy ji otočíte.,Træk figuren for at rotere.,Sleep het personage om te draaien.,Raahaa hahmoa pyörittääksesi.,Faites glisser le personnage pour le faire pivoter.,Ziehe den Charakter zum Drehen.,"घुमाने के लिए पात्र को खींचें।",Húzd a karaktert a forgatáshoz.,Trascina il personaggio per ruotarlo.,キャラクターをドラッグして回転させます。,캐릭터를 드래그하여 회전하세요.,Dra karakteren for å rotere.,Przeciągnij postać aby ją obrócić.,Arraste o personagem para girar.,Arraste a personagem para rodar.,Trageți personajul pentru a-l roti.,Перетащите персонажа для поворота.,Potiahnutím postavy ju otočíte.,Arrastra el personaje para rotarlo.,Dra karaktären för att rotera.,Döndürmek için karakteri sürükleyin.,Перетягніть персонажа щоб повернути.
settings/char_hover__tooltip_disabled,Unused,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Server Browser,,,,,,,,,,,,,,,,,,,,,,,,,,
sb/title,The title of the Server Browser tab,Server Browser,Браузър на сървъра,服务器浏览器,伺服器瀏覽器,Serverový prohlížeč,Server browser,Server browser,Palvelimen selain,Navigateur de serveurs,Server-Browser,सर्वर ब्राउजर,Szerverböngésző,Ricerca Server,サーバーブラウザ,서버 브라우저,Servernettleser,Przeglądarka serwerów,Navegador do servidor,Navegador do servidor,Browser server,Браузер серверов,Serverový prehliadač,Buscar servidores,Serverbläddrare,Sunucu tarayıcısı,Браузер сервера
sb/manual_connect,Connect to IP,Connect to IP,Свържете се с IP,连接到IP,連接到IP,Připojte se k IP,Opret forbindelse til IP,Maak verbinding met IP,Yhdistä IP-osoitteeseen,Se connecter à une IP,Mit IP verbinden,आईपी ​​से कनेक्ट करें,Csatlakozzon az IP-hez,Connettiti all'IP,IPに接続する,IP에 연결,Koble til IP,Połącz się z IP,Conecte-se ao IP,Ligue-se ao IP,Conectați-vă la IP,Подключиться к IP,Pripojte sa k IP,Conéctese a IP,Anslut till IP,IP'ye bağlan,Підключитися до IP
sb/manual_connect__tooltip,The tooltip shown when hovering over the 'manualconnect' button.,Direct connection to a multiplayer session.,Директна връзка към мултиплейър сесия.,直接连接到多人游戏,直接連接到多人遊戲會話。,Přímé připojení k relaci pro více hráčů.,Direkte forbindelse til en multiplayer-session.,Directe verbinding met een multiplayersessie.,Suora yhteys moninpeliistuntoon.,Connexion directe à une session multijoueur.,Direkte Verbindung zu einer Multiplayer-Sitzung.,मल्टीप्लेयर सत्र से सीधा कनेक्शन।,Közvetlen kapcsolat egy többjátékos munkamenethez.,Connessione diretta a una sessione multiplayer.,マルチプレイヤー セッションへの直接接続。,멀티플레이어 세션에 직접 연결됩니다.,Direkte tilkobling til en flerspillerøkt.,Bezpośrednie połączenie z sesją wieloosobową.,Conexão direta a uma sessão multijogador.,Ligação direta a uma sessão multijogador.,Conexiune directă la o sesiune multiplayer.,Прямое подключение к многопользовательской сессии.,Priame pripojenie k relácii pre viacerých hráčov.,Conexión directa a una sesión multijugador.,Direktanslutning till en multiplayer-session.,Çok oyunculu bir oturuma doğrudan bağlantı.,Пряме підключення до багатокористувацької сесії.
sb/manual_connect__tooltip_disabled,Unused,,,,,,,,,,,,Felhasználatlan,,,,,,,,,,,,,,
sb/host,Host Game,Host Game,Домакин на играта,主机游戏,主機遊戲,Hostitelská hra,Værtsspil,Gastheerspel,Isäntäpeli,Héberger une partie,Gastspiel,मेज़बान खेल,Gazdajáték,Ospita il gioco,ホストゲーム,호스트 게임,Vertsspill,Gra gospodarza,Jogo anfitrião,Jogo anfitrião,Găzduire joc,Хост-игра,Hostiteľská hra,Juego de acogida,Värdspel,Sunucu Oyunu,Ведуча гра
sb/host__tooltip,The tooltip shown when hovering over the 'Host Server' button.,Host a multiplayer session.,Организирайте сесия за мултиплейър.,主持多人游戏,主持多人遊戲會話。,Uspořádejte relaci pro více hráčů.,Vær vært for en multiplayer-session.,Organiseer een multiplayersessie.,Järjestä moninpeliistunto.,Héberger une session multijoueur.,Veranstalten Sie eine Multiplayer-Sitzung.,एक मल्टीप्लेयर सत्र की मेजबानी करें.,Hozz létre egy többjátékos munkamenetet.,Ospita una sessione multigiocatore.,マルチプレイヤー セッションをホストします。,멀티플레이어 세션을 호스팅하세요.,Vær vert for en flerspillerøkt.,Zorganizuj sesję wieloosobową.,Hospede uma sessão multijogador.,Acolhe uma sessão multijogador.,Găzduiește o sesiune multiplayer.,Организуйте многопользовательский сеанс.,Usporiadajte reláciu pre viacerých hráčov.,Organiza una sesión multijugador.,Var värd för en session för flera spelare.,Çok oyunculu bir oturuma ev sahipliği yapın.,Проведіть сеанс для кількох гравців.
sb/host__tooltip_disabled,Unused,,,,,,,,,,,,Felhasználatlan,,,,,,,,,,,,,,
sb/join_game,Join Game,Join Game,Присъединете се към играта,加入游戏,加入遊戲,Připojte se ke hře,Deltag i spil,Speel mee,Liity peliin,Rejoindre une partie,Spiel beitreten,खेल में शामिल हो,Belépni a játékba,Unisciti al gioco,ゲームに参加します,게임 참여,Bli med i spillet,Dołącz do gry,Entrar no jogo,Entrar no jogo,Alatura-te jocului,Присоединиться к игре,Pridať sa do hry,Unete al juego,Gå med i spel,Oyuna katılmak,Приєднуйся до гри
sb/join_game__tooltip,The tooltip shown when hovering over the 'Join Server' button.,Join a multiplayer session.,Присъединете се към мултиплейър сесия.,加入多人游戏,加入多人遊戲會話。,Připojte se k relaci pro více hráčů.,Deltag i en multiplayer session.,Neem deel aan een multiplayersessie.,Liity moninpeliistuntoon.,Rejoindre une session multijoueur.,Nehmen Sie an einer Multiplayer-Sitzung teil.,मल्टीप्लेयर सत्र में शामिल हों.,Csatlakozz egy többjátékos munkamenethez.,Partecipa a una sessione multigiocatore.,マルチプレイヤー セッションに参加します。,멀티플레이어 세션에 참여하세요.,Bli med på en flerspillerøkt.,Dołącz do sesji wieloosobowej.,Participe de uma sessão multijogador.,Participe numa sessão multijogador.,Alăturați-vă unei sesiuni multiplayer.,Присоединяйтесь к многопользовательской сессии.,Pripojte sa k relácii pre viacerých hráčov.,Únete a una sesión multijugador.,Gå med i en multiplayer-session.,Çok oyunculu bir oturuma katılın.,Приєднуйтеся до багатокористувацької сесії.
sb/join_game__tooltip_disabled,The tooltip shown when hovering over the 'Join Server' button.,Select a game to join.,Изберете игра за присъединяване,选择要加入的游戏,選擇要加入的遊戲,Vyberte si hru pro připojení,Vælg et spil at deltage i,Kies een spel om deel te nemen,Valitse peli liittyäksesi,Sélectionnez une partie à rejoindre,Wählen Sie ein Spiel zum Beitritt,खेल में शामिल होने के लिए चुनें,Válasszon egy játékot a csatlakozáshoz,Seleziona un gioco da unirti,参加するゲームを選択,게임을 선택하십시오,Velg et spill å bli med på,"Wybierz grę, aby dołączyć",Selecione um jogo para entrar,Selecione um jogo para participar,Alegeți un joc pentru a vă alătura,Выберите игру для присоединения,Vyberte si hru,Seleccione un juego para unirse,Välj ett spel att gå med,Katılmak için bir oyun seçin,Виберіть гру для приєднання
sb/refresh,refresh,Refresh,Опресняване,刷新,重新整理,Obnovit,Opdater,Vernieuwen,virkistää,Rafraîchir,Aktualisierung,ताज़ा करना,Frissítés,ricaricare,リフレッシュ,새로 고치다,Forfriske,Odświeżać,Atualizar,Atualizar,Reîmprospăta,Обновить,Obnoviť,Actualizar,Uppdatera,Yenile,Оновити
sb/refresh__tooltip,The tooltip shown when hovering over the 'Refresh Server' button.,Refresh server list.,Обновяване на списъка със сървъри.,刷新服务器列表,刷新伺服器清單。,Obnovit seznam serverů.,Opdater serverliste.,Vernieuw de serverlijst.,Päivitä palvelinluettelo.,Actualise la liste des serveurs.,Serverliste aktualisieren.,सर्वर सूची ताज़ा करें.,Szerverlista frissítése.,Aggiorna l'elenco dei server.,サーバーリストを更新します。,서버 목록을 새로 고칩니다.,Oppdater serverlisten.,Odśwież listę serwerów.,Atualizar lista de servidores.,Atualizar lista de servidores.,Actualizează lista de servere.,Обновить список серверов.,Obnoviť zoznam serverov.,Actualizar la lista de servidores.,Uppdatera serverlistan.,Sunucu listesini yenileyin.,Оновити список серверів.
sb/refresh__tooltip_disabled,Tooltip for refresh button while refreshing,"Refreshing, please wait...","Опресняване, моля, изчакайте...","正在刷新，请稍候...","正在刷新，請稍候...","Obnovuje se, prosím, počkejte...","Opdaterer, vent venligst...","Vernieuwen, een ogenblik geduld...","Päivitetään, odota hetki...","Actualisation en cours, veuillez patienter...","Aktualisierung läuft, bitte warten...","ताज़ा कर रहा है, कृपया प्रतीक्षा करें...","Frissítés, kérjük, várjon...","Aggiornamento in corso, attendere prego...",リフレッシュ中、お待ちください...,"새로고침 중, 잠시만 기다려 주세요...","Oppdaterer, vennligst vent...","Odświeżanie, proszę czekać...","Atualizando, por favor, aguarde...","Atualizando, por favor, aguarde...","Se actualizează, vă rugăm să așteptați...","Обновление, подождите...","Obnovuje sa, čakajte...","Actualizando, por favor, espere...","Uppdaterar, vänligen vänta...","Güncelleniyor, lütfen bekleyin...","Оновлення, будь ласка, зачекайте..."
sb/ip,IP popup,Enter IP Address,Въведете IP адрес,输入IP地址,輸入IP位址,Zadejte IP adresu,Indtast IP-adresse,Voer het IP-adres in,Anna IP-osoite,Entrez l’adresse IP,IP Adresse eingeben,आईपी ​​पता दर्ज करें,Írja be az IP-címet,Inserire Indirizzo IP,IPアドレスを入力してください,IP 주소를 입력하세요,Skriv inn IP-adresse,Wprowadź adres IP,Digite o endereço IP,Introduza o endereço IP,Introduceți adresa IP,Введите IP-адрес,Zadajte IP adresu,Ingrese la dirección IP,Ange IP-adress,IP Adresini Girin,Введіть IP-адресу
sb/ip_invalid,Invalid IP popup.,Invalid IP Address!,Невалиден IP адрес!,IP 地址无效！,IP 位址無效！,Neplatná IP adresa!,Ugyldig IP-adresse!,Ongeldig IP-adres!,Virheellinen IP-osoite!,Adresse IP invalide,Ungültige IP Adresse!,अमान्य आईपी पता!,Érvénytelen IP-cím!,Indirizzo IP Invalido!,IP アドレスが無効です!,IP 주소가 잘못되었습니다!,Ugyldig IP-adresse!,Nieprawidłowy adres IP!,Endereço IP inválido!,Endereço IP inválido!,Adresă IP nevalidă!,Неверный IP-адрес!,Neplatná IP adresa!,¡Dirección IP inválida!,Ogiltig IP-adress!,Geçersiz IP adresi!,Недійсна IP-адреса!
sb/port,Port popup.,Enter Port (7777 by default),Въведете порт (7777 по подразбиране),输入端口（默认为 7777）,輸入連接埠（預設為 7777）,Zadejte port (ve výchozím nastavení 7777),Indtast port (7777 som standard),Poort invoeren (standaard 7777),Anna portti (oletuksena 7777),Entrez le port (7777 par défaut),Port eingeben (Standard: 7777),पोर्ट दर्ज करें (डिफ़ॉल्ट रूप से 7777),Írja be a portot (alapértelmezés szerint 7777),Inserire Porta (7777 di default),ポートを入力します (デフォルトでは 7777),포트 입력(기본적으로 7777),Angi port (7777 som standard),Wprowadź port (domyślnie 7777),Insira a porta (7777 por padrão),Introduza a porta (7777 por defeito),Introduceți port (7777 implicit),Введите порт (7777 по умолчанию),Zadajte port (predvolene 7777),Introduzca el número de puerto(7777 por defecto),Ange port (7777 som standard),Bağlantı Noktasını Girin (varsayılan olarak 7777),Введіть порт (7777 за замовчуванням)
sb/port_invalid,Invalid port popup.,Invalid Port!,Невалиден порт!,端口无效！,埠無效！,Neplatný port!,Ugyldig port!,Ongeldige poort!,Virheellinen portti!,Port invalide !,Ungültiger Port!,अमान्य पोर्ट!,Érvénytelen port!,Porta Invalida!,ポートが無効です!,포트가 잘못되었습니다!,Ugyldig port!,Nieprawidłowy port!,Porta inválida!,Porta inválida!,Port nevalid!,Неверный порт!,Neplatný port!,¡Número de Puerto no válido!,Ogiltig port!,Geçersiz Bağlantı Noktası!,Недійсний порт!
sb/password,Password popup.,Enter Password,Въведете паролата,输入密码,輸入密碼,Zadejte heslo,Indtast adgangskode,Voer wachtwoord in,Kirjoita salasana,Entrez le mot de passe,Passwort eingeben,पास वर्ड दर्ज करें,Írd be a jelszót,Inserire Password,パスワードを入力する,암호를 입력,Oppgi passord,Wprowadź hasło,Digite a senha,Introduza a senha,Introdu parola,Введите пароль,Zadajte heslo,Introducir la contraseña,Skriv in lösenord,Parolanı Gir,Введіть пароль
sb/players,Player count in details text,Players,Играчите,玩家,玩家,Hráči,Spillere,Spelers,Pelaajat,Joueurs,Spieler,खिलाड़ी,Játékosok,Giocatori,プレイヤー,플레이어,Spillere,Gracze,Jogadores,Jogadores,Jucători,Игроки,Hráči,Jugadores,Spelare,Oyuncular,Гравці
sb/password_required,Password required in details text,Password,Парола,密码,密碼,Heslo,Adgangskode,Wachtwoord,Salasana,Mot de passe,Passwort,पासवर्ड,Jelszó,Password,パスワード,비밀번호,Passord,Hasło,Senha,Senha,Parola,Пароль,Heslo,Contraseña,Lösenord,Parola,Пароль
sb/password_required_yes,Response 'yes' for details text,Yes,Да,有,是,Ano,Ja,Ja,Kyllä,Oui,Ja,हां,Ano,Sì,はい,네,Ja,Tak,Sim,Sim,Da,Да,Áno,Sí,Ja,Evet,Так
sb/password_required_no,Response 'no' for details text,No,Не,无,否,Ne,Nej,Nee,Ei,Non,Nein,नहीं,Ne,No,いいえ,아니요,Nei,Nie,Não,Não,Nu,Нет,Nie,Nie,Nej,Hayır,Ні
sb/game_version,Game version in details text,Game version,Версия на играта,游戏版本,遊戲版本,Verze hry,Spilversion,Spelversie,Pelin versio,Version du jeu,Spielversion,गेम संस्करण,Verze hry,Versione del gioco,ゲームバージョン,게임 버전,Spillversjon,Wersja gry,Versão do jogo,Versão do jogo,Versiunea jocului,Версия игры,Verzia hry,Versión del juego,Spelversion,Oyun versiyonu,Версія гри
sb/mod_version,Multiplayer version in details text,Multiplayer version,Мултиплейър версия,多人游戏版本,多人遊戲版本,Multiplayer verze,Multiplayer version,Multiplayer versie,Moninpeliversio,Version multijoueur,Multiplayer-Version,मल्टीप्लेयर संस्करण,Multiplayer verze,Versione multiplayer,マルチプレイヤーバージョン,멀티플레이어 버전,Multiplayer versjon,Wersja multiplayer,Versão multiplayer,Versão multiplayer,Versiunea multiplayer,Мультиплеерная версия,Multiplayer verzia,Versión multijugador,Multiplayer-version,Çok oyunculu sürüm,Багатокористувацька версія
sb/yes,Response 'yes' for details text,Yes,Да,是,是,Ano,Ja,Ja,Kyllä,Oui,Ja,हां,Ano,Sì,はい,네,Ja,Tak,Sim,Sim,Da,Да,Áno,Sí,Ja,Evet,Так
sb/no,Response 'no' for details text,No,Не,否,否,Ne,Nej,Nee,Ei,Non,Nein,नहीं,Ne,No,いいえ,아니요,Nei,Nie,Não,Não,Nu,Нет,Nie,Nie,Nej,Hayır,Ні
sb/ok,'OK' for details text,OK,Добре,是,是,Ano,Ja,Ja,Kyllä,Oui,Ja,हाँ,Igen,Sì,はい,예,Ja,Tak,Sim,Sim,Da,Да,Áno,Sí,Ja,Evet,Так
sb/mismatch,'mismatch' for details text,Mismatch,Несъответствие,不匹配,不符,Nesoulad,Uoverensstemmelse,Niet-overeenkomend,Ristiriita,Non-concordance,Diskrepanz,बेमेल,Eltérés,Non corrispondenza,不一致,불일치,Avvik,Niezgodność,Incompatibilidade,Incompatibilidade,Nepotrivire,Несоответствие,Nesúlad,Discordancia,Oöverensstämmelse,Uyumsuzluk,Невідповідність
sb/missing,'Missing' for mod status,Missing,Липсва,缺少,缺少,Chybí,Mangler,Ontbreekt,Puuttuu,Manquant,Fehlt,गायब,Hiányzik,Mancante,欠落,누락,Mangler,Brak,Ausente,Ausente,Lipsă,Отсутствует,Chýba,Falta,Saknas,Eksik,Відсутній
sb/required_mods,'Required Mods' header,Required Mods,Необходими модификации,必需模组,必需模組,Požadované módy,Krævede mods,Vereiste mods,Vaaditut modit,Mods requis,Erforderliche Mods,आवश्यक मॉड,Szükséges modok,Mod richiesti,必須MOD,필수 모드,Nødvendige modifikasjoner,Wymagane mody,Mods necessários,Mods necessários,Moduri necesare,Требуемые моды,Požadované módy,Mods requeridos,Nödvändiga moddar,Gerekli modlar,Необхідні моди
sb/extra_mods,'Extra Mods' header,Extra Mods,Допълнителни модификации,多余模组,額外模組,Extra módy,Ekstra mods,Extra mods,Ylimääräiset modit,Mods supplémentaires,Zusätzliche Mods,अतिरिक्त मॉड,Extra modok,Mod extra,追加MOD,추가 모드,Ekstra modifikasjoner,Dodatkowe mody,Mods extras,Mods extras,Moduri suplimentare,Дополнительные моды,Extra módy,Mods adicionales,Extra moddar,Ekstra modlar,Додаткові моди
sb/incompatible,'Incompatible' for mod status,Incompatible,Несъвместим,不兼容,不相容,Nekompatibilní,Inkompatibel,Incompatibel,Yhteensopimaton,Incompatible,Inkompatibel,असंगत,Nem kompatibilis,Incompatibile,非互換,호환 불가,Inkompatibel,Niekompatybilny,Incompatível,Incompatível,Incompatibil,Несовместимо,Nekompatibilné,Incompatible,Inkompatibel,Uyumsuz,Несумісний
sb/extra_mod,'Extra Mod' status message,Extra Mod,Допълнителна модификация,多余模组,額外模組,Extra mód,Ekstra mod,Extra mod,Ylimääräinen modi,Mod supplémentaire,Zusätzlicher Mod,अतिरिक्त मॉड,Extra mod,Mod extra,追加MOD,추가 모드,Ekstra modifikasjon,Dodatkowy mod,Mod extra,Mod extra,Mod suplimentar,Дополнительный мод,Extra mód,Mod adicional,Extra modd,Ekstra mod,Додатковий мод
